quiz_id,activity_id,module_id,order,question,option_a,option_b,option_c,option_d,correct
G9-A1.1-Q1,G9-A1.1,G9-M1,1,A close up shot is mostly used to:,Show a wide landscape,Bring us near a detail or emotion,Speed up the story,Save money,B
G9-A1.1-Q2,G9-A1.1,G9-M1,2,A cut is best described as:,A type of camera,The join between two shots,A kind of lighting,An actor's line,B
G9-A1.1-Q3,G9-A1.1,G9-M1,3,Film language means:,The subtitles,The way shots and cuts make meaning,The script only,The country the film is from,B
G9-A1.1-Q4,G9-A1.1,G9-M1,4,A low angle on a character tends to make them feel:,Weak and small,Powerful or threatening,Funny,Invisible,B
G9-A1.1-Q5,G9-A1.1,G9-M1,5,The best critique of a scene talks about:,Only the plot,The craft choices and their effect,The actor's personal life,The ticket price,B
G9-A1.2-Q1,G9-A1.2,G9-M1,1,Genre in film mainly means:,The film's length,A category with shared traits and mood,The director's age,The cinema location,B
G9-A1.2-Q2,G9-A1.2,G9-M1,2,Horror films often signal genre through:,Bright colors and fast jokes,"Dark tone, quiet, then shock",Wedding scenes,Cooking demos,B
G9-A1.2-Q3,G9-A1.2,G9-M1,3,Knowing genre rules helps a filmmaker:,Copy exactly forever,Play with or break expectations on purpose,Avoid making films,Raise ticket prices,B
G9-A1.2-Q4,G9-A1.2,G9-M1,4,A romantic comedy usually promises:,Fear and dread,A light tone and a love story,A crime investigation,A history lecture,B
G9-A1.2-Q5,G9-A1.2,G9-M1,5,Genre is best recognized from:,"The look, sound, and mood",The film's budget only,The number of actors,The release year only,A
G9-A1.3-Q1,G9-A1.3,G9-M1,1,A craft study is about:,Memorizing dates,Learning a technique you can reuse,Rating the actors,Counting awards,B
G9-A1.3-Q2,G9-A1.3,G9-M1,2,Studying Filipino films gives a young filmmaker:,Nothing useful,A local reference library of techniques,Only history facts,A ticket discount,B
G9-A1.3-Q3,G9-A1.3,G9-M1,3,Natural light is valuable because it is:,Expensive,Free and often beautiful,Always harsh,Illegal to use,B
G9-A1.3-Q4,G9-A1.3,G9-M1,4,The goal of watching a master's work is to:,Copy the whole film,Take one technique and make it yours,Ignore it,Memorize the credits,B
